Event ID,Season,MatchDay,Year,Month,Day,Date,Home Team,Away Team,Home Score,Away Score,Home ML,Draw ML,Away ML,,,
,AP25,11,2025,9,26,9/26/25,JUA,LEO,2,0,105,245,255,,,
,AP25,11,2025,9,27,9/27/25,AME,PUM,4,1,-135,265,370,,,
,AP25,11,2025,9,27,9/27/25,TOL,MAZ,3,1,-475,600,1000,,,
,AP25,11,2025,9,27,9/27/25,MTY,SAN,1,0,-340,475,750,,,
,AP25,11,2025,9,27,9/27/25,ATLX,NEC,3,2,185,255,135,,,
,AP25,11,2025,9,27,9/27/25,PAC,ASL,2,1,-185,340,450,,,
,AP25,11,2025,9,28,9/28/25,QRO,TIG,0,2,425,290,-160,,,
,AP25,11,2025,9,28,9/28/25,TIJ,CAZ,2,0,225,275,105,,,
,AP25,12,2025,10,3,10/3/25,ATLX,JUA,3,1,195,235,135,,,
,AP25,12,2025,10,3,10/3/25,NEC,PAC,0,1,150,255,165,,,
,AP25,12,2025,10,3,10/3/25,MAZ,ASL,2,1,145,235,180,,,
,AP25,12,2025,10,4,10/4/25,TIG,CAZ,1,1,115,250,230,,,
,AP25,12,2025,10,4,10/4/25,AME,SAN,3,0,-525,600,1100,,,
,AP25,12,2025,10,4,10/4/25,LEO,TOL,2,4,300,300,-130,,,
,AP25,12,2025,10,4,10/4/25,QRO,PUE,3,1,140,230,195,,,
,AP25,12,2025,10,5,10/5/25,TIJ,MTY,2,2,165,265,145,,,
,AP25,12,2025,10,5,10/5/25,PUM,GDL,1,2,130,215,220,,,
,AP25,13,2025,10,17,10/17/25,TIG,NEC,5,3,-175,330,425,,,
,AP25,13,2025,10,17,10/17/25,PUE,TIJ,4,3,130,230,210,,,
,AP25,13,2025,10,17,10/17/25,ASL,ATLX,2,0,-120,290,295,,,
,AP25,13,2025,10,18,10/18/25,TOL,QRO,4,0,-500,650,1000,,,
,AP25,13,2025,10,18,10/18/25,MTY,PUM,1,1,-150,275,400,,,
,AP25,13,2025,10,18,10/18/25,SAN,LEO,2,0,175,260,140,,,
,AP25,13,2025,10,18,10/18/25,CAZ,AME,2,1,185,245,140,,,
,AP25,13,2025,10,18,10/18/25,GDL,MAZ,2,0,-260,390,650,,,
,AP25,13,2025,10,18,10/18/25,JUA,PAC,2,2,170,225,160,,,
,AP25,14,2025,10,21,10/21/25,NEC,CAZ,1,1,290,280,-115,,,
,AP25,14,2025,10,21,10/21/25,MAZ,SAN,2,2,100,260,250,,,
,AP25,14,2025,10,21,10/21/25,AME,PUE,2,1,-390,500,900,,,
,AP25,14,2025,10,21,10/21/25,MTY,JUA,4,2,-155,300,390,,,
,AP25,14,2025,10,22,10/22/25,QRO,GDL,1,0,380,260,-135,,,
,AP25,14,2025,10,22,10/22/25,PAC,TIG,1,2,180,230,150,,,
,AP25,14,2025,10,22,10/22/25,ATLX,LEO,2,0,170,255,145,,,
,AP25,14,2025,10,22,10/22/25,PUM,ASL,0,1,-120,265,310,,,
,AP25,14,2025,10,22,10/22/25,TIJ,TOL,0,0,195,270,125,,,
,AP25,15,2025,10,24,10/24/25,JUA,PUE,4,4,-145,275,400,,,
,AP25,15,2025,10,24,10/24/25,MAZ,AME,2,2,425,320,-175,,,
,AP25,15,2025,10,25,10/25/25,LEO,PUM,1,1,210,240,125,,,
,AP25,15,2025,10,25,10/25/25,TIG,TIJ,2,0,-205,360,500,,,
,AP25,15,2025,10,25,10/25/25,GDL,ATLX,4,1,-190,320,500,,,
,AP25,15,2025,10,25,10/25/25,CAZ,MTY,2,0,-110,270,280,,,
,AP25,15,2025,10,26,10/26/25,SAN,QRO,3,1,105,260,245,,,
